created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Tue Oct 18 00:03:12 +0000 2022;1582160330008178691;"SEOKJIN X COLDPLAY YES https://t.co/vQruUMwOZB";149;25;1903;5289;in;1270359061175783424;1582160330008178691;winnttaebear;https://twitter.com/winnttaebear/status/1582160330008178691
Tue Oct 18 00:00:00 +0000 2022;1582159524068151296;"-idm SEOKJIN COLLAB SAMA COLDPLAY MYYYY😭😭😭 https://t.co/aP1EYmuVjS";93;215;283;1876;in;292019537;1582159524068151296;indomyfess;https://twitter.com/indomyfess/status/1582159524068151296
Fri Oct 14 05:54:10 +0000 2022;1580799103919099904;"Giovanni Simeone, anak Diego Simeone, punya playlist publik di Spotify yang bisa kamu akses.  Cari saja dengan kata kunci “Giovanni Simeone Playlist” maka kamu akan menemukan lagu-lagu Coldplay dan satu playlist yang menarik, yang ia namai “meditacion” berisi musik-musik Zen. https://t.co/oW1Gyhql8B";3;8;66;587;in;1353900789438181376;1580799103919099904;fandomstore_id;https://twitter.com/fandomstore_id/status/1580799103919099904
Wed Oct 12 22:43:25 +0000 2022;1580328311452241920;"[💜]  #Coldplay mengajukan lagu mereka dengan BTS “My Universe" untuk For Your Consideration Grammy  #방탄소년단 #BTS @BTS_twt https://t.co/1u6ucVrbKO";5;15;447;1175;in;1133734878334279683;1580328311452241920;ARMYTEAMIID;https://twitter.com/ARMYTEAMIID/status/1580328311452241920
Mon Oct 03 06:15:02 +0000 2022;1576818086803804161;"wst GAIS COLDPLAY KONFIRMASI BAKAL TOUR DI SOUTHEAST ASIA TAHUN DEPAN! Semoga ada Indonesia yah di tour kali inii aminnnn! Soalnya sender juga udah ngerasa banyak kode gitu...semoga aja benerr mampir ke indo😀 https://t.co/8mVMefExVf";1435;634;446;2305;in;1291404424250712064;1576818086803804161;westenthu;https://twitter.com/westenthu/status/1576818086803804161
Tue Sep 27 21:11:31 +0000 2022;1574869368449642496;"@convomfs ingat kata coldplay juga https://t.co/F1YBBrlqDS";62;25;276;2145;in;565981666;1574787222502445056;eyezonce;https://twitter.com/eyezonce/status/1574869368449642496
Sun Sep 25 05:36:58 +0000 2022;1573909403794710528;"Kirain konser Coldplay atau Dewa 19  Rupanya Cemarah UAS di BKB Palembang Sehat terus Tuan Guru https://t.co/L18j47frp4";18;48;372;2015;in;498469927;1573909403794710528;HarryMagurame;https://twitter.com/HarryMagurame/status/1573909403794710528
Sat Sep 17 03:02:43 +0000 2022;1570971485111750657;"LO CU RA!!! 🎶 #ColdplayColombia #ColdplayBogotá #Coldplay https://t.co/dN9HKt1ZzT";56;9;127;908;in;625774121;1570971485111750657;IcSalo;https://twitter.com/IcSalo/status/1570971485111750657
Mon Aug 29 06:47:17 +0000 2022;1564142628597145600;"Hadeh.... Gini deh, seandainya yg menang itu Silk Sonic, ato seandainya Coldplay masuk nom dan menang, Army bakal santai, anteng dan memberi selamat yg gede buat mereka, kenapa? Coz they deserve it Mereka punya kredibilitas dan juga punya achievement yg besar selama setahun itu";17;23;289;1962;in;1384469708393508871;1564142628597145600;Ruruarmy2;https://twitter.com/Ruruarmy2/status/1564142628597145600
Sun Aug 28 08:15:02 +0000 2022;1563802321636585473;"Wst | Baru tau ternyata coldplay enggan ngadain konser di Indo karena ini😭😭😭 https://t.co/ecxALgRKCA";78;65;45;764;in;1291404424250712064;1563802321636585473;westenthu;https://twitter.com/westenthu/status/1563802321636585473
Fri Aug 19 16:18:03 +0000 2022;1560662387120021504;"Jealous ya tgk orang pegi concert coldplay";114;8;2218;4024;in;1731109297;1560662387120021504;sofeashra;https://twitter.com/sofeashra/status/1560662387120021504
Thu Aug 18 14:18:09 +0000 2022;1560269825712463875;"Patutlah Coldplay fikir lama untuk datang Malaysia, takut dapat organizer scam.";53;7;1243;2551;in;398785125;1560269825712463875;mosyukiborhan;https://twitter.com/mosyukiborhan/status/1560269825712463875
